game_year,pitcher,throws
2024,434378,R
2024,445276,R
2024,445926,R
2024,448179,L
2024,450203,R
2024,453286,R
2024,455119,R
2024,456501,R
2024,458677,L
2024,458681,R
2024,471911,R
2024,472610,R
2024,476595,L
2024,477132,L
2024,489119,L
2024,489446,R
2024,493603,R
2024,500743,R
2024,500779,L
2024,502043,R
2024,502085,R
2024,502171,R
2024,502179,R
2024,502624,R
2024,503449,R
2024,506433,R
2024,516853,R
2024,518397,L
2024,518489,R
2024,518585,R
2024,518586,R
2024,518617,L
2024,518633,L
2024,518876,R
2024,518886,R
2024,519008,L
2024,519043,L
2024,519141,L
2024,519151,R
2024,519242,L
2024,519293,L
2024,519326,R
2024,523260,R
2024,527048,L
2024,527054,R
2024,528748,R
2024,541640,R
2024,542585,R
2024,542881,L
2024,542882,R
2024,542888,R
2024,542947,L
2024,543037,R
2024,543056,L
2024,543063,R
2024,543135,R
2024,543238,L
2024,543243,R
2024,543294,R
2024,543305,R
2024,543339,R
2024,543351,R
2024,543391,R
2024,543475,R
2024,543510,R
2024,543518,R
2024,543606,R
2024,543766,R
2024,543859,R
2024,544150,R
2024,545121,R
2024,546276,L
2024,547001,R
2024,547179,R
2024,547184,R
2024,547973,L
2024,548384,L
2024,548389,R
2024,552640,R
2024,554340,R
2024,554430,R
2024,554431,L
2024,570257,L
2024,570632,R
2024,570666,R
2024,571466,R
2024,571479,R
2024,571510,L
2024,571527,R
2024,571539,R
2024,571578,L
2024,571656,R
2024,571657,R
2024,571670,R
2024,571710,R
2024,571760,L
2024,571771,R
2024,571863,R
2024,571882,R
2024,571912,R
2024,571927,L
2024,571945,R
2024,571946,R
2024,571948,L
2024,572020,L
2024,572143,R
2024,572383,L
2024,572888,R
2024,572955,R
2024,572971,L
2024,573009,L
2024,573124,L
2024,573186,R
2024,573204,L
2024,573262,L
2024,579328,L
2024,592094,R
2024,592155,L
2024,592169,R
2024,592288,L
2024,592332,R
2024,592351,R
2024,592426,R
2024,592454,R
2024,592473,L
2024,592662,L
2024,592712,R
2024,592716,R
2024,592741,L
2024,592767,L
2024,592773,R
2024,592779,R
2024,592791,R
2024,592836,R
2024,592866,R
2024,593334,R
2024,593423,R
2024,593576,R
2024,593833,R
2024,593934,R
2024,593958,L
2024,593974,L
2024,594577,R
2024,594580,L
2024,594798,R
2024,594835,L
2024,594902,R
2024,595014,R
2024,595345,L
2024,595881,R
2024,595897,R
2024,595928,R
2024,595978,R
2024,596001,R
2024,596117,R
2024,596133,R
2024,596271,R
2024,596295,L
2024,598264,R
2024,598286,L
2024,600917,R
2024,600986,R
2024,601713,R
2024,605121,R
2024,605130,R
2024,605135,R
2024,605154,R
2024,605155,R
2024,605156,R
2024,605177,L
2024,605182,R
2024,605200,R
2024,605218,R
2024,605280,R
2024,605288,R
2024,605335,L
2024,605347,R
2024,605397,R
2024,605400,R
2024,605441,R
2024,605447,R
2024,605452,R
2024,605463,R
2024,605483,L
2024,605488,L
2024,605498,L
2024,605513,R
2024,606131,R
2024,606149,R
2024,606160,R
2024,606303,R
2024,606930,R
2024,606965,R
2024,607067,R
2024,607074,L
2024,607179,R
2024,607192,R
2024,607200,R
2024,607216,R
2024,607229,R
2024,607237,L
2024,607259,R
2024,607455,L
2024,607481,L
2024,607536,L
2024,607625,R
2024,607644,L
2024,608032,R
2024,608331,L
2024,608334,R
2024,608344,L
2024,608371,R
2024,608379,R
2024,608566,R
2024,608638,R
2024,608648,R
2024,608678,R
2024,608717,R
2024,608718,L
2024,608723,R
2024,612434,R
2024,613534,R
2024,614179,R
2024,615698,R
2024,620443,R
2024,620454,L
2024,620982,R
2024,621016,R
2024,621048,R
2024,621051,R
2024,621053,R
2024,621057,R
2024,621097,R
2024,621107,R
2024,621111,R
2024,621112,R
2024,621114,R
2024,621139,R
2024,621142,R
2024,621199,R
2024,621237,L
2024,621242,R
2024,621244,R
2024,621294,R
2024,621345,L
2024,621363,L
2024,621366,L
2024,621381,L
2024,621383,L
2024,621389,L
2024,621399,L
2024,621550,R
2024,622065,L
2024,622072,L
2024,622075,R
2024,622088,R
2024,622098,R
2024,622103,R
2024,622250,R
2024,622251,R
2024,622253,R
2024,622259,R
2024,622268,R
2024,622338,R
2024,622491,R
2024,622503,R
2024,622554,R
2024,622569,R
2024,622608,R
2024,622663,R
2024,622694,R
2024,622766,R
2024,622786,R
2024,623149,R
2024,623167,R
2024,623168,R
2024,623211,R
2024,623352,L
2024,623381,L
2024,623433,R
2024,623437,R
2024,623451,R
2024,623454,R
2024,623465,R
2024,623474,R
2024,623520,R
2024,624133,L
2024,624431,R
2024,624522,R
2024,624647,L
2024,625643,R
2024,628317,R
2024,628452,R
2024,628708,R
2024,630023,R
2024,640448,R
2024,640451,R
2024,640454,L
2024,640455,L
2024,640462,L
2024,640470,R
2024,640902,R
2024,641149,R
2024,641154,R
2024,641302,L
2024,641312,R
2024,641329,R
2024,641343,L
2024,641360,R
2024,641386,L
2024,641394,L
2024,641401,R
2024,641427,R
2024,641461,R
2024,641482,L
2024,641540,R
2024,641541,R
2024,641582,R
2024,641585,R
2024,641627,R
2024,641632,R
2024,641645,R
2024,641656,R
2024,641658,R
2024,641703,R
2024,641712,R
2024,641726,R
2024,641729,R
2024,641745,R
2024,641750,R
2024,641755,R
2024,641771,R
2024,641778,L
2024,641793,R
2024,641816,R
2024,641835,L
2024,641927,R
2024,641941,R
2024,642016,R
2024,642028,L
2024,642048,L
2024,642086,L
2024,642100,L
2024,642121,R
2024,642130,L
2024,642133,L
2024,642207,R
2024,642215,R
2024,642216,R
2024,642232,L
2024,642239,L
2024,642397,L
2024,642520,R
2024,642528,R
2024,642530,R
2024,642545,R
2024,642546,R
2024,642547,R
2024,642575,R
2024,642629,R
2024,642701,R
2024,642834,L
2024,643256,R
2024,643338,R
2024,643361,R
2024,643377,R
2024,643396,R
2024,643410,R
2024,643493,R
2024,643511,R
2024,646242,L
2024,647306,L
2024,647315,R
2024,647336,R
2024,650489,R
2024,650556,R
2024,650633,R
2024,650644,R
2024,650671,L
2024,650893,L
2024,650895,R
2024,650911,L
2024,650960,R
2024,655889,R
2024,656186,R
2024,656222,L
2024,656232,R
2024,656234,R
2024,656240,R
2024,656257,R
2024,656266,R
2024,656271,L
2024,656288,R
2024,656302,R
2024,656353,L
2024,656354,L
2024,656412,R
2024,656420,R
2024,656427,R
2024,656457,L
2024,656458,L
2024,656464,R
2024,656529,L
2024,656546,R
2024,656547,R
2024,656548,R
2024,656550,R
2024,656557,R
2024,656605,R
2024,656629,R
2024,656638,R
2024,656641,L
2024,656647,L
2024,656657,L
2024,656671,L
2024,656686,R
2024,656701,R
2024,656716,R
2024,656726,R
2024,656730,R
2024,656731,R
2024,656756,L
2024,656786,L
2024,656793,R
2024,656794,L
2024,656814,R
2024,656820,R
2024,656848,R
2024,656849,L
2024,656876,R
2024,656887,R
2024,656896,R
2024,656924,R
2024,656945,L
2024,656970,L
2024,656976,L
2024,656986,L
2024,657006,L
2024,657024,R
2024,657044,R
2024,657053,R
2024,657061,R
2024,657097,R
2024,657193,R
2024,657240,R
2024,657265,R
2024,657277,R
2024,657376,R
2024,657508,R
2024,657514,L
2024,657571,L
2024,657585,R
2024,657612,L
2024,657624,R
2024,657649,L
2024,657697,R
2024,657746,R
2024,658648,R
2024,659275,R
2024,660261,R
2024,660600,R
2024,660623,R
2024,660644,R
2024,660761,L
2024,660781,L
2024,660787,R
2024,660813,R
2024,660825,R
2024,660844,R
2024,660853,R
2024,660896,R
2024,660906,L
2024,661269,R
2024,661395,R
2024,661403,R
2024,661440,R
2024,661527,R
2024,661536,R
2024,661563,R
2024,662253,R
2024,663158,R
2024,663321,R
2024,663362,R
2024,663372,R
2024,663423,R
2024,663432,R
2024,663436,R
2024,663455,L
2024,663460,L
2024,663462,R
2024,663465,L
2024,663474,R
2024,663485,R
2024,663500,R
2024,663531,L
2024,663542,L
2024,663546,R
2024,663554,R
2024,663559,L
2024,663562,R
2024,663567,R
2024,663568,R
2024,663574,R
2024,663623,R
2024,663670,R
2024,663671,R
2024,663681,R
2024,663687,L
2024,663704,R
2024,663735,R
2024,663738,L
2024,663752,R
2024,663765,R
2024,663767,R
2024,663773,R
2024,663776,L
2024,663793,R
2024,663795,R
2024,663855,R
2024,663878,R
2024,663893,L
2024,663897,R
2024,663903,R
2024,663941,R
2024,663947,L
2024,663969,R
2024,663977,L
2024,663978,R
2024,663989,L
2024,663992,L
2024,664054,R
2024,664076,L
2024,664079,L
2024,664092,R
2024,664123,R
2024,664126,R
2024,664129,R
2024,664139,R
2024,664192,L
2024,664199,R
2024,664208,R
2024,664285,L
2024,664299,R
2024,664301,R
2024,664350,R
2024,664351,R
2024,664747,R
2024,664776,R
2024,664849,L
2024,664854,R
2024,664875,R
2024,664901,R
2024,664948,L
2024,665001,R
2024,665019,R
2024,665048,R
2024,665152,R
2024,665167,R
2024,665178,L
2024,665620,R
2024,665622,R
2024,665625,R
2024,665660,R
2024,665795,R
2024,665828,R
2024,665871,R
2024,665896,R
2024,665996,L
2024,666121,R
2024,666122,L
2024,666129,L
2024,666142,L
2024,666149,R
2024,666151,R
2024,666157,L
2024,666159,R
2024,666163,R
2024,666171,R
2024,666197,R
2024,666200,L
2024,666201,R
2024,666202,L
2024,666204,R
2024,666205,L
2024,666207,R
2024,666208,R
2024,666214,L
2024,666215,R
2024,666277,R
2024,666364,R
2024,666619,R
2024,666659,R
2024,666711,R
2024,666720,R
2024,666721,R
2024,666745,R
2024,666808,R
2024,666818,R
2024,666974,R
2024,667297,R
2024,667414,R
2024,667427,R
2024,667463,L
2024,667478,L
2024,667725,R
2024,667755,R
2024,668338,R
2024,668390,R
2024,668470,R
2024,668472,L
2024,668674,R
2024,668676,R
2024,668678,R
2024,668716,R
2024,668719,R
2024,668800,R
2024,668868,L
2024,668869,L
2024,668873,R
2024,668874,R
2024,668881,R
2024,668909,R
2024,668933,R
2024,668941,L
2024,668942,R
2024,668943,R
2024,668964,R
2024,668968,R
2024,668970,R
2024,668984,R
2024,668998,R
2024,669001,R
2024,669022,L
2024,669060,R
2024,669062,L
2024,669081,L
2024,669084,L
2024,669093,R
2024,669111,R
2024,669142,R
2024,669165,R
2024,669169,R
2024,669192,R
2024,669194,R
2024,669199,R
2024,669203,R
2024,669205,R
2024,669211,L
2024,669212,R
2024,669247,R
2024,669270,R
2024,669276,L
2024,669302,R
2024,669308,R
2024,669310,R
2024,669330,R
2024,669358,R
2024,669372,R
2024,669373,L
2024,669387,R
2024,669391,R
2024,669395,R
2024,669416,R
2024,669422,R
2024,669431,L
2024,669432,L
2024,669434,R
2024,669437,R
2024,669438,R
2024,669443,R
2024,669456,R
2024,669459,L
2024,669461,L
2024,669467,R
2024,669620,L
2024,669622,R
2024,669639,R
2024,669668,R
2024,669674,L
2024,669697,R
2024,669704,R
2024,669711,R
2024,669713,R
2024,669721,R
2024,669724,R
2024,669796,L
2024,669854,R
2024,669912,L
2024,669923,R
2024,669952,R
2024,670036,R
2024,670046,L
2024,670059,R
2024,670102,R
2024,670103,L
2024,670124,R
2024,670154,R
2024,670161,R
2024,670167,R
2024,670174,R
2024,670219,R
2024,670223,R
2024,670241,R
2024,670242,R
2024,670245,R
2024,670280,R
2024,670389,R
2024,670766,R
2024,670810,R
2024,670871,R
2024,670950,R
2024,670955,R
2024,670970,L
2024,670990,R
2024,671096,L
2024,671106,L
2024,671109,L
2024,671111,L
2024,671131,R
2024,671212,R
2024,671220,R
2024,671305,R
2024,671345,R
2024,671737,R
2024,671922,R
2024,672078,R
2024,672277,R
2024,672282,L
2024,672335,L
2024,672391,R
2024,672405,R
2024,672456,R
2024,672550,R
2024,672552,L
2024,672578,R
2024,672582,L
2024,672710,R
2024,672712,L
2024,672730,R
2024,672782,R
2024,672836,R
2024,672839,R
2024,672841,R
2024,672851,R
2024,672860,R
2024,673380,R
2024,673513,L
2024,673540,R
2024,673929,R
2024,674003,L
2024,674072,L
2024,674175,R
2024,674285,R
2024,674370,R
2024,674444,R
2024,674944,L
2024,675527,L
2024,675540,R
2024,675627,R
2024,675650,R
2024,675911,R
2024,675921,R
2024,675976,R
2024,675977,R
2024,675989,R
2024,676083,R
2024,676092,R
2024,676105,R
2024,676106,R
2024,676130,R
2024,676221,L
2024,676252,R
2024,676254,R
2024,676272,R
2024,676282,L
2024,676362,R
2024,676391,R
2024,676393,R
2024,676395,L
2024,676428,L
2024,676433,R
2024,676440,R
2024,676454,L
2024,676464,L
2024,676477,R
2024,676498,L
2024,676508,R
2024,676510,R
2024,676534,R
2024,676568,R
2024,676570,R
2024,676571,L
2024,676596,L
2024,676604,R
2024,676614,L
2024,676617,R
2024,676620,L
2024,676661,R
2024,676664,L
2024,676680,L
2024,676684,R
2024,676689,R
2024,676702,R
2024,676710,R
2024,676714,L
2024,676742,R
2024,676755,R
2024,676760,R
2024,676775,R
2024,676879,L
2024,676881,L
2024,676907,R
2024,676961,R
2024,676962,R
2024,676969,R
2024,676974,R
2024,676979,L
2024,676987,R
2024,677020,L
2024,677053,L
2024,677076,L
2024,677161,R
2024,677352,L
2024,677865,L
2024,677916,R
2024,677944,R
2024,677955,R
2024,677958,R
2024,677960,L
2024,677976,R
2024,678013,R
2024,678020,R
2024,678061,L
2024,678215,R
2024,678226,R
2024,678279,R
2024,678368,R
2024,678394,R
2024,678478,R
2024,678495,R
2024,678576,R
2024,678606,L
2024,678620,L
2024,678692,R
2024,678713,R
2024,678725,R
2024,678738,L
2024,678743,R
2024,678821,L
2024,678906,R
2024,679066,R
2024,679156,L
2024,679358,R
2024,679525,R
2024,679702,R
2024,679780,L
2024,679845,R
2024,679885,R
2024,679892,L
2024,680089,R
2024,680223,R
2024,680423,R
2024,680570,R
2024,680572,R
2024,680573,R
2024,680604,R
2024,680686,R
2024,680689,R
2024,680694,R
2024,680701,L
2024,680704,R
2024,680723,L
2024,680730,L
2024,680732,R
2024,680736,L
2024,680739,R
2024,680742,R
2024,680744,R
2024,680758,R
2024,680767,R
2024,680880,R
2024,680885,R
2024,680891,R
2024,680897,R
2024,680911,R
2024,681025,L
2024,681035,R
2024,681066,L
2024,681084,R
2024,681094,L
2024,681097,R
2024,681117,L
2024,681145,R
2024,681154,L
2024,681168,R
2024,681185,R
2024,681190,R
2024,681217,R
2024,681293,R
2024,681343,R
2024,681347,R
2024,681391,L
2024,681402,R
2024,681407,R
2024,681432,L
2024,681473,R
2024,681493,R
2024,681517,R
2024,681544,R
2024,681571,R
2024,681676,R
2024,681738,R
2024,681739,R
2024,681744,R
2024,681753,R
2024,681799,R
2024,681803,R
2024,681806,R
2024,681810,R
2024,681857,R
2024,681867,R
2024,681869,R
2024,681870,L
2024,681871,R
2024,681882,R
2024,681890,R
2024,681892,L
2024,681895,L
2024,681902,R
2024,681911,L
2024,681924,R
2024,681938,R
2024,681982,R
2024,682052,L
2024,682073,R
2024,682120,L
2024,682175,L
2024,682227,L
2024,682243,R
2024,682254,L
2024,682489,R
2024,682607,L
2024,682610,R
2024,682791,R
2024,682842,R
2024,682847,R
2024,682989,R
2024,682990,R
2024,683003,R
2024,683004,R
2024,683021,R
2024,683068,L
2024,683101,R
2024,683155,R
2024,683165,R
2024,683232,R
2024,683409,R
2024,683522,R
2024,683568,R
2024,683618,R
2024,683627,R
2024,683769,R
2024,683822,R
2024,684007,L
2024,684128,R
2024,684320,R
2024,684483,L
2024,684665,R
2024,684871,R
2024,684946,R
2024,684949,R
2024,684974,R
2024,685095,R
2024,685107,L
2024,685116,L
2024,685126,L
2024,685299,R
2024,685314,L
2024,685461,R
2024,685464,R
2024,685801,R
2024,686228,R
2024,686294,R
2024,686433,R
2024,686463,R
2024,686539,R
2024,686563,R
2024,686580,R
2024,686608,R
2024,686613,R
2024,686642,L
2024,686654,R
2024,686730,R
2024,686747,L
2024,686751,R
2024,686752,R
2024,686762,R
2024,686790,R
2024,686796,L
2024,686799,R
2024,686826,R
2024,686839,R
2024,686973,R
2024,686993,R
2024,687014,R
2024,687095,L
2024,687134,R
2024,687145,L
2024,687166,R
2024,687209,R
2024,687258,R
2024,687271,R
2024,687280,L
2024,687287,L
2024,687330,R
2024,687362,R
2024,687377,R
2024,687396,L
2024,687397,R
2024,687423,L
2024,687424,R
2024,687473,R
2024,687481,R
2024,687589,R
2024,687765,R
2024,687792,L
2024,687798,R
2024,687817,R
2024,687825,R
2024,687847,R
2024,687856,R
2024,687863,R
2024,687866,R
2024,687879,R
2024,687911,L
2024,687922,L
2024,687924,R
2024,687956,R
2024,688107,L
2024,688230,L
2024,688274,R
2024,688297,R
2024,688497,R
2024,688642,R
2024,688703,R
2024,688753,R
2024,688857,R
2024,688984,R
2024,689017,R
2024,689042,R
2024,689147,R
2024,689225,R
2024,689254,L
2024,689266,L
2024,689337,R
2024,689434,R
2024,689672,R
2024,689690,R
2024,689958,R
2024,689981,R
2024,690103,R
2024,690206,R
2024,690544,L
2024,690736,L
2024,690829,R
2024,690916,R
2024,690925,R
2024,690986,L
2024,691004,R
2024,691012,R
2024,691032,R
2024,691172,R
2024,691441,R
2024,691548,R
2024,691951,L
2024,692230,R
2024,692285,R
2024,692983,L
2024,693312,R
2024,693433,R
2024,693759,R
2024,693821,R
2024,694037,R
2024,694297,R
2024,694335,R
2024,694350,R
2024,694357,L
2024,694361,R
2024,694363,L
2024,694381,R
2024,694436,L
2024,694462,R
2024,694496,R
2024,694536,R
2024,694553,L
2024,694559,L
2024,694646,R
2024,694650,R
2024,694738,R
2024,694813,R
2024,694833,L
2024,694851,R
2024,694887,R
2024,694973,R
2024,695026,L
2024,695071,R
2024,695076,R
2024,695229,R
2024,695243,R
2024,695296,R
2024,695549,R
2024,696098,R
2024,696131,R
2024,696136,L
2024,696150,R
2024,696263,R
2024,696275,R
2024,696522,R
2024,699911,R
2024,700072,R
2024,700177,R
2024,700183,R
2024,700187,R
2024,700241,R
2024,700249,L
2024,700270,R
2024,700287,R
2024,700363,R
2024,700669,R
2024,700728,R
2024,700794,R
2024,701121,R
2024,701151,L
2024,701288,R
2024,701533,R
2024,701542,R
2024,701566,R
2024,701568,R
2024,701581,R
2024,701603,R
2024,701643,R
2024,701719,L
2024,701856,R
2024,701951,R
2024,702129,R
2024,702303,L
2024,702352,R
2024,702674,R
2024,702785,R
2024,702795,R
2024,702911,L
2024,703231,R
2024,800049,R
2024,800723,R
2024,801216,R
2024,801412,L
2024,801434,R
2024,801505,R
2024,801682,R
2024,802180,R
2024,802363,R
2024,802402,L
2024,802686,L
2024,804922,R
2024,805257,L
2024,805673,R
2024,805728,R
2024,806185,R
2024,807744,R
2024,808820,L
2024,808967,R
2024,808970,R
2024,810921,R
2024,814005,R
2024,814088,R
2024,814217,R
2024,814280,R
2024,815084,R
